window_idx_global,series_id,series_name,start_idx,state_id,recon_mae
301,0,clean_serie1,9030,0,0.046505816
302,0,clean_serie1,9060,0,0.047254972
303,0,clean_serie1,9090,0,0.04427829
304,0,clean_serie1,9120,0,0.04241989
305,0,clean_serie1,9150,0,0.044706166
306,0,clean_serie1,9180,0,0.05252646
307,0,clean_serie1,9210,0,0.064404935
308,0,clean_serie1,9240,0,0.07882134
309,0,clean_serie1,9270,1,0.088253096
310,0,clean_serie1,9300,1,0.10275996
311,0,clean_serie1,9330,1,0.12143722
312,0,clean_serie1,9360,1,0.134133
313,0,clean_serie1,9390,1,0.13454247
314,0,clean_serie1,9420,1,0.13762328
315,0,clean_serie1,9450,1,0.14654452
316,0,clean_serie1,9480,1,0.15610084
317,0,clean_serie1,9510,1,0.16244668
318,0,clean_serie1,9540,1,0.1504128
319,0,clean_serie1,9570,1,0.11537575
320,0,clean_serie1,9600,1,0.08428495
321,0,clean_serie1,9630,0,0.06780267
322,0,clean_serie1,9660,1,0.0715655
323,0,clean_serie1,9690,1,0.10886968
324,0,clean_serie1,9720,1,0.17231092
325,0,clean_serie1,9750,1,0.24277717
326,0,clean_serie1,9780,1,0.26999223
327,0,clean_serie1,9810,1,0.2647162
328,0,clean_serie1,9840,1,0.22677515
329,0,clean_serie1,9870,1,0.16857167
330,0,clean_serie1,9900,1,0.13549556
331,0,clean_serie1,9930,1,0.1063201
332,0,clean_serie1,9960,0,0.072128765
333,0,clean_serie1,9990,0,0.05569685
334,0,clean_serie1,10020,0,0.047716238
335,0,clean_serie1,10050,0,0.04517853
336,0,clean_serie1,10080,0,0.057668027
337,0,clean_serie1,10110,0,0.07933127
338,0,clean_serie1,10140,1,0.1020318
339,0,clean_serie1,10170,1,0.11199266
340,0,clean_serie1,10200,1,0.10343015
341,0,clean_serie1,10230,1,0.09008357
342,0,clean_serie1,10260,1,0.06630564
343,0,clean_serie1,10290,0,0.054265138
344,0,clean_serie1,10320,0,0.050198887
345,0,clean_serie1,10350,0,0.046022523
346,0,clean_serie1,10380,0,0.048176467
347,0,clean_serie1,10410,0,0.059548277
348,0,clean_serie1,10440,0,0.07554832
349,0,clean_serie1,10470,1,0.08662764
350,0,clean_serie1,10500,1,0.09090201
351,0,clean_serie1,10530,1,0.08489797
352,0,clean_serie1,10560,1,0.07246547
353,0,clean_serie1,10590,1,0.08471941
354,0,clean_serie1,10620,1,0.110938825
355,0,clean_serie1,10650,1,0.12299905
356,0,clean_serie1,10680,1,0.116215594
357,0,clean_serie1,10710,0,0.0905754
